Medical Supply,Feminine Hygiene,Manufacturer,Product Headline,Part Number,UPC #,Description,Retail Price,Sale Price
,,Medline,"Medline Pad, Maternity, 11 in, with Tails, Non-Sterile",NON241280,80196781488,"
Medline OB Pad with Tails, 11"" long Non-sterile 12 per bg, 24 in a case. There is no adhesive strip along the back of the pad.
Quantity : 288 per Case, 24 One-Dozen Bags
Sterile :No
Latex-Free : Yes
",$74.52,$55.20
,,"
VendPink dittie™",VendPink dittie™ Vended Tampons,80011,,"VendPink donates 20% of the profits from vended tampons to Y-ME National Breast Cancer Organization. Regular absorbency with pearlized plastic applicator. Packaged in uniquely designed vending tubes with mood-lifting messages on every wrapper.

Quantity : 300 per Case",$114.24,$84.62
,,Hospeco,Hospeco Maxithins® Vended Sanitary Napkins - 250 per Case,"MT-4, ",75289000447,"Thin full protection. Folded to fit into #4 box for vending from feminine hygiene dispensers. For use with Hospeco HSC MT 1 and HSC FOCJR-25 vendors both sold separately. Also fits any vendor/feminine hygeine dispenser that vends #4 boxes.

Grade : #4 Box Size
Quantity : 250 per Case",$56.50,$41.85
,,Hospeco ,"Hospeco Tampons, Original, Regular Absorbency, 500 Tampons/Carton", PGC025001,73010025004,"Regular absorbency tampon individually wrapped and in vend-style tube. Tampax®, a name women trust.

Quantity : 500 Tampons/Carton
Absorbency : Regular",$112.14,$83.07
,,Hospeco ,"Hospeco ComfortPlus Tampons, 100/Carton",HOSMT100FS,75289068058,"Regular absorbency tampon individually wrapped and in vend-style tube. Tampax®, a name women trust.

Quantity : 100/Carton",$42.61,$31.56
,,Hospeco,"Hospeco 11"" Tabbed Maxi Non-Sterile - 12 per Pack",HS-74,,"11"" tabbed non-sterile maternity pad.
Size: 11""
Quantity : 12 per Pack
Quantity : 24 Packs per Case
Packaging : Bag Packed",$48.98,$36.28
,Grooming Supplies,Colgate-Palmolive ,Colgate-Palmolive Toothbrush Colgate Adult Soft,55511700,35000550101,"Individually Wrapped.

Quantity : 1 EA
Application: Toothbrush
Bristle Head Size: Full
Bristle Type: Soft
UNSPSC Code: 53131503
User: Adult",$0.53,$0.39
,,Colgate-Palmolive ,"Colgate-Palmolive Toothbrush Colgate Adult Soft, 144 EA/CS",55511704,3500055501,"Individually Wrapped. Individually Wrapped.

Quantity : 144 EA/CS
Application: Toothbrush
Bristle Head Size: Full
Bristle Type: Soft
UNSPSC Code: 53131503
User: Adult",$79.92,$59.20
,,Colgate-Palmolive ,Colgate-Palmolive Powered Toothbrush Colgate® 360°® Optic White® Adult Soft,16881700,35000688606,"Whitens teeth in just 1 week
With special polishing bristles, the 360°® Optic White® Powered Toothbrush polishes away surface stains while cleaning hard to reach places
Its dual action head, cheek and tongue cleaner and comfortable non-slip handle create a whole-mouth clean experience

User : Adult
Bristle Head Size : Full
Application : Powered Toothbrush
Handle Type : Non-Slip Grip
Bristle Type : Soft",$11.87,$8.79
,,"Geiss, Destin & Dunn","Geiss, Destin & Dunn Dental Floss Picks GoodSense Mint, 90 EA/PK",44501700,846036004458,"Easy, convenient, disposable, one-handed flossing. Comfort grip handle.

Quantity : 90 EA/PK
Application: Dental Floss Picks
Flavor: Mint
UNSPSC Code: 53131504",$2.24,$1.66
,,McKesson,McKesson Shower Cap Medi-Pak One Size Fits Most Clear,10001700,,"Medi-Pak Shower Cap. Clear. One Size Fits All. Single Patient Use. Not Made With Natural Rubber Latex.

Quantity : 1 EA
Application: Shower Cap
Color: Clear
Securing Method: Elastic
Size: One Size Fits Most
UNSPSC Code: 53131601
Usage: Single Patient Use
Latex Free Indicator: Not Made with Natural Rubber Latex",$0.09,$0.07
,,SECURE,SECURE Comfort Strips - 15 Strips,39286,364031300097,"
Extra Firm Hold for Lower Dentures
The patented waterproof adhesive that won't wash away while you're eating and drinking
Zinc Free!
Improves Quality of Life
The solution for denture wearers with flat/narrow lower jaws.
Assures a secure, strong bond between the lower denture and gum, even in the most difficult cases.
.

Disclaimer : These statements have not been evaluated by the FDA. These products are not intended to diagnose, treat, cure, or prevent any disease.

Quantity : 15/EA",$9.19,$6.81
,,Procter & Gamble,"Procter & Gamble Denture Adhesive Fixodent® Extra Hold 1.6 oz. Powder
",13511700,76660725362,"Quantity : 1 Each
Volume : 1.6 oz.
Application : Denture Adhesive
UNSPSC Code : 53131510",$6.90,$5.11
,Personal Care Wipes,McKesson StayDry® ,"McKesson StayDry® Disposable Washcloths w/Aloe, 100-Sheet Soft-Packs, 6PK/CS",15653100,10612479183442,"12"" x 8"" (30.5 cm x 20.3 cm)
Pre-Moistened
Hypoallergenic
Dermatologist Tested
Natural Aloe and Vitamin E
Soft and Strong
Convenient Dispensing Lid
Alcohol-Free
Not made with natural rubber latex.
Packaged : 100 Sheets per Pack, 6 Packs Per Case

Quantity : 6 Packs per Case
Wipes : 100 per Pack
Size : 12"" x 8""
Sterile : No
HCPCS : A4335",$25.03,$18.54
,,Kimberly Clark Professional,"Kimberly Clark Professional Fresh Care Flushable Cleansing Cloths, White, 3.75 x 5.5, 42/Pack",KCC36734,36000724424,"Fresh Care cleansing cloths leave you feeling cleaner and fresher than toilet paper alone. Cloths give you a shower-fresh feeling that leaves you confidently clean.

Flushable wipes break up quickly and are sewer and septic safe. These soft wipes are gentle on skin, with just the right amount of moisture to provide the ultimate clean. Alcohol free.

Quantity : 42 Wipes per Pack
Size : 5.5"" x 3.75""
Plys : 1
Color : White
Application : Personal Wipe
Applicable Material : Skin",$4.68,$3.47
,,Professional Disposables,Professional Disposables Hygea® Sanitizing Skin Wipe,31851201,,"Use wherever antiseptic cleansing/refreshing is needed

Quantity : 1 Each
Size : 5"" x 7""
Scent : Scented
Active Ingredients : Benzalkonium Chloride
Application : Sanitizing Skin Wipe
UNSPSC Code : 53131624",$0.07,$0.05
,,Kimberly Clark Professional ,"Kimberly Clark Professional Fresh Care Flushable Cleansing Cloths, White, 5 x 7 1/4, 168/Pack", KCC10358EA,36000103588,"Fresh Care cleansing cloths leave you feeling cleaner and fresher than toilet paper alone. Cloths give you a shower-fresh feeling that leaves you confidently clean. Flushable wipes break up quickly and are sewer and septic safe. These soft wipes are gentle on skin, with just the right amount of moisture to provide the ultimate clean. Alcohol free.

Towel/Wipe Type : Hand/Body Wet Wipe
Application : Personal Wipe
Applicable Material : Skin
Material : Paper
Number of Plies : 1
Color : White
Length : 7 1/4""
Width : 5""
Packaging : Pack
Number of Towels/Wipes Per Container : 168",$11.35,$8.41
,Skin Care Products,Medline,Medline Remedy Olivamine Calazime Skin Protectant Paste - 4 oz,MSC094544H,80196306155,"Remedy Olivamine Calazime Skin Protectant Paste has a higher viscosity (thickness) than other skin pastes
Nourishes skin, helps treat and prevent diaper rash, wet and cracked skin
Calazime dries light exudates from compromised skin
Menthol cools irritated skin and calms inflamed tissue
Semi-breathable, long-lasting barrier protects torn or exposed skin against harmful stimuli
Nourishes skin with amino acids, antioxidants and pain control ingredients
Non-allergenic
Non-sensitizing

Quantity : 1 Each
Latex-Free : Yes
Size : 4 oz
Top Selling Item!",$12.43,$9.21
